academic_year,date,thai_date_label,day_of_week_th,start_time,end_time,title_th,title_en,category,note,source_page,source_row
2569,2026-04-06,6 เม.ย. 69,จันทร์,,,วันจักรี,Chakri Day,holiday,,2,
2569,2026-04-13,13 เม.ย. 69,จันทร์,,,วันสงกรานต์,Songkran,holiday,label_verify_from_image,2,
2569,2026-04-14,14 เม.ย. 69,อังคาร,,,วันสงกรานต์,,holiday,label_unverified_day2,2,
2569,2026-04-15,15 เม.ย. 69,พุธ,,,วันสงกรานต์,,holiday,label_unverified_day3,2,
2569,2026-04-27,27 เม.ย. 69,จันทร์,,,เปิดภาคการศึกษาที่ 1/2569,,academic,,2,
